x1	x2	prob1	prob2
2.200	1.787	1	0
0.712	1.118	1	0
2.245	0.706	0	1
2.061	0.147	0	1
1.850	1.381	1	0
2.272	0.684	0	1
0.810	2.085	0	1
2.121	1.121	1	0
2.984	2.559	0	1
2.787	1.997	0	1
0.100	1.750	0	1
0.850	0.647	0	1
1.392	2.828	0	1
2.146	0.998	1	0
1.633	2.913	0	1
2.310	0.587	0	1
0.876	1.093	1	0
0.479	0.194	0	1
0.115	2.086	0	1
2.215	0.682	0	1
0.408	0.100	0	1
1.074	2.286	1	0
1.428	1.309	1	0
0.917	2.152	1	0
1.682	1.275	1	0
1.711	1.648	1	0
0.395	0.100	0	1
2.074	2.786	0	1
0.207	2.377	0	1
1.024	1.968	1	0
0.889	2.277	0	1
1.620	1.350	1	0
0.386	1.561	0	1
1.452	1.945	1	0
0.100	1.337	0	1
0.219	0.927	0	1
2.081	0.746	0	1
0.692	1.186	1	0
1.943	0.726	1	0
3.026	2.187	0	1
1.524	3.061	0	1
2.134	0.150	0	1
2.017	1.341	1	0
1.552	0.100	0	1
2.147	2.198	0	1
0.201	2.679	0	1
2.827	0.162	0	1
0.853	3.018	0	1
0.928	0.125	0	1
2.597	2.064	0	1
1.423	2.570	1	0
2.289	1.361	1	0
1.224	2.901	0	1
0.680	2.462	0	1
0.261	1.888	0	1
2.022	0.200	0	1
1.377	0.689	1	0
1.240	0.249	1	0
1.613	0.285	0	1
0.164	0.530	0	1
0.865	2.099	1	0
2.491	3.111	0	1
2.257	1.066	1	0
0.477	1.095	0	1
0.171	2.713	0	1
0.100	2.841	0	1
0.100	2.081	0	1
1.150	3.123	0	1
2.230	2.050	1	0
2.457	1.107	1	0
1.466	1.997	1	0
0.507	0.535	0	1
2.133	1.150	1	0
0.438	2.095	0	1
0.633	1.548	0	1
0.562	1.500	0	1
0.456	1.901	0	1
0.642	2.223	0	1
0.635	1.954	1	0
0.668	1.675	1	0
0.917	1.783	1	0
0.740	1.643	1	0
0.766	0.168	0	1
2.602	2.002	0	1
2.372	3.036	0	1
1.865	1.284	1	0
0.763	2.858	0	1
0.560	0.807	1	0
0.288	2.626	0	1
2.965	1.244	0	1
2.380	1.181	1	0
1.774	0.853	1	0
0.764	0.319	0	1
0.591	0.861	0	1
1.611	2.095	1	0
2.908	2.133	0	1
0.611	1.937	0	1
1.034	0.100	0	1
1.377	2.487	0	1
0.213	2.621	0	1
2.206	2.191	1	0
1.157	0.100	0	1
3.232	0.906	0	1
1.499	2.110	1	0
2.081	2.312	1	0
0.396	0.519	0	1
1.117	0.978	1	0
0.331	1.764	0	1
2.445	1.369	1	0
2.843	1.573	0	1
1.301	0.542	1	0
2.092	0.232	0	1
0.942	2.302	0	1
1.381	2.086	1	0
2.737	2.664	0	1
1.763	0.129	0	1
0.829	0.330	0	1
1.137	0.357	0	1
1.515	1.710	1	0
1.497	0.843	1	0
0.950	2.520	0	1
1.779	0.287	0	1
2.326	0.100	0	1
1.047	1.686	1	0
1.232	2.176	1	0
0.240	0.677	0	1
0.203	0.499	0	1
0.741	0.821	1	0
1.190	0.346	0	1
2.157	1.803	1	0
2.805	2.677	0	1
2.806	2.164	0	1
1.491	0.462	0	1
0.922	0.877	1	0
2.357	0.272	0	1
2.323	1.627	1	0
2.118	1.382	1	0
2.205	3.024	0	1
0.446	2.266	0	1
2.275	1.620	1	0
1.522	2.520	0	1
0.348	0.335	0	1
0.400	1.405	0	1
2.434	2.996	0	1
0.488	2.694	0	1
0.261	2.032	0	1
2.187	1.920	1	0
2.578	1.276	0	1
1.397	3.054	0	1
2.014	0.429	0	1
0.386	2.091	0	1
2.888	2.151	0	1
1.660	2.465	0	1
1.977	1.437	1	0
0.100	1.969	0	1
2.437	2.525	0	1
2.340	1.097	1	0
0.631	1.464	0	1
1.709	2.839	0	1
0.918	1.461	1	0
1.838	0.884	1	0
0.977	1.801	1	0
0.982	1.111	1	0
0.293	1.999	0	1
0.564	1.273	1	0
0.100	1.342	0	1
2.652	1.929	0	1
1.668	2.764	0	1
2.822	0.776	0	1
0.248	2.787	0	1
2.551	2.479	0	1
2.463	3.054	0	1
1.948	0.233	0	1
1.605	0.876	1	0
0.815	1.904	1	0
2.554	0.658	0	1
0.718	0.392	0	1
0.202	2.023	0	1
2.200	1.993	1	0
1.972	1.847	1	0
2.141	2.007	1	0
1.669	0.106	0	1
1.490	0.919	1	0
0.911	1.355	1	0
2.410	0.880	0	1
1.148	2.303	1	0
2.380	2.614	0	1
2.435	0.993	0	1
2.748	2.280	0	1
1.749	0.187	0	1
2.166	2.513	0	1
2.667	0.324	0	1
1.187	1.520	1	0
0.419	0.887	0	1
2.656	2.239	0	1
1.896	1.615	1	0
1.133	1.428	1	0
3.183	2.748	0	1
0.692	0.913	1	0
1.779	1.054	1	0
